FEATURE,MICRO-FEATURE,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','choose-plan',1,'initial',false,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring','choose-plan',1,'initial',false,'choose','to-hire',-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','personal-data',2,'intermediary',false,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring','personal-data',2,'intermediary',false,'fill','continue',-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','company-data',3,'intermediary',false,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring','company-data',3,'intermediary',false,'fill','continue',-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','invoice-address',4,'intermediary',false,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring','invoice-address',4,'intermediary',false,'fill','continue',-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','order-confirmation-sms',5,'intermediary',false,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring','order-confirmation-sms',5,'intermediary',false,'fill','continue',-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-step','contracting-flow','hiring','success',6,'completion',true,-,-,-,-,-,,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'currencyCode','BRL',-,'string','string',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'name','product-name',-,'string','string',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'id' | 'sku','0123456789',-,'string','string',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'price','15.95',-,'currency','currency',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'quantity','1',-,'integer','integer',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'transaction id','0123456789',-,'string','string',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,revenue,'30.95',-,'currency','currency',,,
Contratacao,Fluxo Contratacao,'feature-interaction','contracting-flow','hiring',,,,,'category','category-name-lvl1'/  'category-name-lvl2'/  'category-name-lvl3/,-,'string','string',,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Consumo,Contratar Pacotes,'interface-message','packages-and-services','comsumption',-,-,-,false,-,-,'warning','string','string',,,
Consumo,Contratar Pacotes,'interface-message','packages-and-services','comsumption',-,-,-,false,-,-,'error','string','string',,,
Consumo,Compartilhar Internet,'feature-step','share-internet','comsumption','home',1,'initial',false,-,-,-,-,-,,,
Consumo,Compartilhar Internet,'feature-interaction','share-internet','comsumption','home',1,'initial',false,'choose','confirm-number' | 'log-view',-,-,-,,,
Consumo,Compartilhar Internet,'feature-step','share-internet','comsumption','shared-amount',2,'intermediary',false,-,-,-,-,-,,,
Consumo,Compartilhar Internet,'feature-interaction','share-internet','comsumption','shared-amount',2,'intermediary',false,'choose-quantity' | 'others-quantities','confirm',-,-,-,,,
Consumo,Compartilhar Internet,'feature-step','share-internet','comsumption','confirms-shared-amount',3,'intermediary',false,-,-,-,-,-,,,
Consumo,Compartilhar Internet,'feature-interaction','share-internet','comsumption','confirms-shared-amount',3,'intermediary',false,'confirm','next',-,-,-,,,
Consumo,Compartilhar Internet,'feature-step','share-internet','comsumption','success',4,'completion',true,-,-,-,-,-,,,
Consumo,Compartilhar Internet,'interface-message','share-internet','comsumption',-,-,-,false,-,-,'warning','string','string',,,
Consumo,Compartilhar Internet,'interface-message','share-internet','comsumption',-,-,-,false,-,-,'error','string','string',,,
Consumo,Consumo de Voz,'feature-step','voice-consumption','comsumption','home',1,'initial',false,-,-,-,-,-,,,
Consumo,Consumo de Voz,'feature-interaction','voice-consumption','comsumption','home',1,'initial',false,'choose-export-action','to-print' | 'salve-to-pdf' | 'send-by-email',-,-,-,,,
Consumo,Consumo de Voz,'feature-step','voice-consumption','comsumption','send-by-email',2,'intermediary',false,-,-,-,-,-,,,
Consumo,Consumo de Voz,'feature-interaction','voice-consumption','comsumption','send-by-email',2,'intermediary',false,'confirm','next',-,-,-,,,
Consumo,Consumo de Voz,'feature-step','voice-consumption','comsumption','success',3,'completion',true,-,-,-,-,-,,,
Consumo,Consumo de Voz,'interface-message','voice-consumption','comsumption',-,-,-,false,-,-,'warning','string','string',,,
Consumo,Consumo de Voz,'interface-message','voice-consumption','comsumption',-,-,-,false,-,-,'error','string','string',,,
Teste,,,,,,,,,,,,,,,,
