FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code,
Aquisição de Plano,Seleção de Plano,No carregamento da página de seleção de planos,'feature-step','plan-acquisition','purchase-funnel','plan-selection',1,'initial',false,,,,,,
Aquisição de Plano,Seleção de Plano,"Ao selecionar ""Continuar""",'feature-interaction','plan-acquisition','purchase-funnel','plan-selection',1,'initial',false,'proceed','without-a-phone',,,,
Aquisição de Plano,Seleção de Plano,Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','plan-selection',1,'initial',false,,,'warning' | 'error','warning' | 'error',string,
Aquisição de Plano,Carrinho (sem aparelho),No carregamento da página,'feature-step','plan-acquisition','purchase-funnel','cart',2,'intermediary',false,,,,,,
Aquisição de Plano,Carrinho (sem aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-acquisition','purchase-funnel','cart',2,'intermediary',false,'proceed','next',,,,
Aquisição de Plano,Carrinho (sem aparelho),"Ao selecionar ""Calcular""",'feature-interaction','plan-acquisition','purchase-funnel','cart',2,'intermediary',false,'calculate-coupon','calculate-coupon',,,,
Aquisição de Plano,Carrinho (sem aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-acquisition','purchase-funnel','cart',2,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano,Carrinho (sem aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','cart',2,'intermediary',false,,,'warning' | 'error','warning' | 'error',string,
Aquisição de Plano,Identificação (sem aparelho),No carregamento da página,'feature-step','plan-acquisition','purchase-funnel','login',3,'intermediary',false,,,,,,
Aquisição de Plano,Identificação (sem aparelho),"Ao enviar o formulário de login (Clique em ""Entrar"", etc.)",'feature-interaction','plan-acquisition','purchase-funnel','login',3,'intermediary',true | false,'login','login',,,,
Aquisição de Plano,Identificação (sem aparelho),"Ao enviar o formulário de cadastro (Clique em ""Cadastrar"", etc.)",'feature-interaction','plan-acquisition','purchase-funnel','login',3,'intermediary',false,'register','register',,,,
Aquisição de Plano,Identificação (sem aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','login',3,'intermediary',false,,,'warning' | 'error','warning' | 'error',string,
Aquisição de Plano,Cadastro (sem aparelho),No carregamento da página,'feature-step','plan-acquisition','purchase-funnel','registration',3,'intermediary',false,,,,,,
Aquisição de Plano,Cadastro (sem aparelho),Ao prosseguir após a inserção de dados pessoais,'feature-interaction','plan-acquisition','purchase-funnel','registration',3,'intermediary',false,'form','id-info',,,,
Aquisição de Plano,Cadastro (sem aparelho),Ao prosseguir após a inserção de dados de cobrança,'feature-interaction','plan-acquisition','purchase-funnel','registration',3,'intermediary',false,'form','payment-info',,,,
Aquisição de Plano,Cadastro (sem aparelho),Ao prosseguir após a inserção de dados de login,'feature-interaction','plan-acquisition','purchase-funnel','registration',3,'intermediary',false,'form','login-info',,,,
Aquisição de Plano,Cadastro (sem aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','registration',3,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano,Endereço de entrega (sem aparelho),Ao ser exibido o passo de seleção do endereço,'feature-step','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,,,,,,
Aquisição de Plano,Endereço de entrega (sem aparelho),Ao selecionar a atualização de endereço,'feature-interaction','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,'pick-address','new-address',,,,
Aquisição de Plano,Endereço de entrega (sem aparelho),Ao selecionar a entrega no endereço pré-cadastrado,'feature-interaction','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,'pick-address','choose-address',,,,
Aquisição de Plano,Endereço de entrega (sem aparelho),"Ao selecionar ""Prosseguir""",'feature-interaction','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,'proceed','next',,,,
Aquisição de Plano,Endereço de entrega (sem aparelho),"Ao selecionar ""Voltar""",'feature-interaction','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,'navigate','go-back',,,,
Aquisição de Plano,Endereço de entrega (sem aparelho),Ao ser exibido qualquer aviso,'interface-message','plan-acquisition','purchase-funnel','delivery-address',4,'intermediary',false,,,'warning' | 'error','warning' | 'error',,
Aquisição de Plano,Pagamento (sem aparelho),Ao ser exibido o passo de forma de pagamento,'feature-step','plan-acquisition','purchase-funnel','payment',5,'intermediary',false,,,,,,
