FEATURE,MICRO-FEATURE,TRIGGER,event,feature.name,feature.type,step.name,step.index,step.type,step.success,interaction.name,interaction.value,message.type,message.name,message.code
Regionalização,Bússola,Quando a página exibe a bússola,'feature-step','bussola','regionalization','choose-your-city',1,'initial',false,,,,,
Regionalização,Bússola,Quando o usuário seleciona uma cidade,'feature-interaction','bussola','regionalization','choose-your-city',1,'initial',false,'choose-your-city',regionalName,,,
Regionalização,Bússola,Quando a página responde à regionalização correta do usuário,'feature-step','bussola','regionalization','city-chosen-successfully',2,'completion',true,,,,,
Regionalização,Bússola,Quando a página exibir algum erro ou aviso na bussola,'interface-message','bussola','regionalization',,,,,,,,,
,,,,,,,,,,,,,,
CTAs,CTA Principal (hero),Quando o usuário clica nos CTAs principais do Hero Banner,'feature-interaction','main-cta','cta','hero-cta',1,'initial',false,'hero-cta',ctaPlacement + ':' + ctaName,,,
CTAs,CTA Card Produto,Quando o usuário clica no CTA de um card de produto,'feature-interaction','product-card-cta','cta','product-card-cta',1,'initial',false,'product-card-cta',ctaPlacement + ':' + ctaName,,,
CTAs,CTA Sticky Lateral,Quando o usuário clica no CTA de um elemento fixo na lateral da página,'feature-interaction','lateral-sticky-cta','cta','lateral-sticky-cta',1,'initial',false,'lateral-sticky-cta',ctaPlacement + ':' + ctaName,,,
CTAs,CTA Barra Horizontal,Quando o usuário clica no CTA de uma barra horizontal,'feature-interaction','horizontal-bar-cta','cta','horizontal-bar-cta',1,'initial',false,'horizontal-bar-cta',ctaPlacement + ':' + ctaName,,,
CTAs,CTA Secundário,Quando o usuário clica em um CTA secundário,'feature-interaction','secondary-cta','cta','secondary-cta',1,'initial',false,'secondary-cta',ctaPlacement + ':' + ctaName,,,
,,,,,,,,,,,,,,
-- LEADS,,,,,,,,,,,,,,
Leads diretos,"Consulta de disponibilidade Modal, barra ou box",Quando a página exibe um modal de consulta de cobertura (visibilidade = mais de 50% do elemento visível na página),'feature-step','availability-check','lead','user-info-input',1,'initial',false,,,,,
Leads diretos,"Consulta de disponibilidade Modal, barra ou box","Quando o usuário tenta enviar o formulário, clicando em ""Assine Já"" ou pressionando Enter",'feature-interaction','availability-check','lead','user-info-input',1,'initial',false,'form-send','ok' | 'error',,,
Leads diretos,"Consulta de disponibilidade Modal, barra ou box",Quando houver o retorno do resultado da consulta de disponibilidade,'feature-step','availability-check','lead','availability-result-success' | 'availability-result-unavailable',2,'completion',true,,,,,
Leads diretos,"Consulta de disponibilidade Modal, barra ou box",Quando a página exibir algum erro ou aviso no formulário de consulta de disponibilidade,'interface-message','availability-check','lead',,,,,,,,,
Leads diretos,Chat,Quando o uuário inicia um chat,'feature-step','chat','lead','chat-start',1,'initial',false,,,,,
Leads diretos,Chat,Quando o chat é finalizado com uma contratação,'feature-step','chat','lead','chat-success',2,'completion',true,,,,,
Leads diretos,Chat,Quando o chat é finalizado SEM uma contratação,'feature-step','chat','lead','chat-ended',2,'completion',false,,,,,
Leads indiretos,Revelar o número,Quando o usuário clica para revelar o número de telefone,'feature-interaction','reveal-phone-number','lead','reveal-phone-number',1,'completion',true,'reveal-phone-number',phneNumber,,,
Leads indiretos,Click to Call,Quando o usuário clica para ligar para o call center,'feature-interaction','c2c','lead','c2c',1,'completion',,'c2c',phneNumber,,,
-- CONTENT,,,,,,,,,,,,,,
Visualização de conteúdo,Conteúdo em Vídeo,Quando o vídeo inicia,'feature-step','video-view','content',videoName + ':' + 'video-play',1,'initial',false,,,,,
Visualização de conteúdo,Conteúdo em Vídeo,Quando o usuário vê um vídeo até 50%,'feature-step','video-view','content',videoName + ':' + 'video-50',1,'intermediary',false,,,,,
Visualização de conteúdo,Conteúdo em Vídeo,Quando o usuário vê um vídeo até 95%,'feature-step','video-view','content',videoName + ':' + 'video-95',1,'completion',true,,,,,
Visualização de conteúdo,Conteúdo em abas,Quando a página exibe uma aba da conteúdo,'feature-step','tab-view','content',nomeDaSecao + ':' + nomeDaAbaAtual,1,'completion',true,,,,,
Visualização de conteúdo,FAQ,Quando a página exibe um item do FAQ,'feature-step','faq-view','content',nomeDaSecao + ':' + nomeDoItemDoFaq,1,'completion',true,,,,,
Visualização de conteúdo,Conteúdo em Scroll,Quando a página exibe uma seção de conteúdo (após menu ou scroll),'feature-step','scroll-content-view','content',nomeDaSecao,number,'initial' | 'intermediary' | 'completion',true,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
